248212, 240812, _
247978, 30, Tue Aug 12 13_53_42 2014
249502, 242161, _
248967, 33, Tue Aug 12 13_50_28 2014
302452, 294006, _
302012, 41348, Tue Aug 12 13_58_05 2014
24171, 22196, _
24137, 4, Tue Aug 12 13_43_28 2014
244549, 237243, _
244022, 34, Tue Aug 12 13_49_02 2014
214473, 199789, _
220521, 39, Tue Aug 12 14_01_40 2014
246017, 238810, _
245656, 33, Tue Aug 12 13_49_34 2014
249299, 241884, _
248778, 41313, Tue Aug 12 13_52_42 2014
251712, 244205, _
251605, 32, Tue Aug 12 13_35_24 2014
244912, 237667, _
244576, 31, Tue Aug 12 13_48_45 2014
315354, 306619, _
314772, 39, Tue Aug 12 13_58_21 2014
254343, 246750, _
254034, 32, Tue Aug 12 13_47_44 2014
1204, 0, _
890, 2, Tue Aug 12 13_55_27 2014
302778, 293913, _
302477, 42, Tue Aug 12 13_37_38 2014
301923, 293634, _
301308, 41327, Tue Aug 12 13_59_17 2014
23902, 22044, _
23970, 4, Tue Aug 12 13_43_57 2014
251095, 243566, _
250437, 32, Tue Aug 12 13_53_14 2014
11992, 10355, _
12128, 3, Tue Aug 12 13_44_40 2014
211882, 197482, _
218132, 37, Tue Aug 12 14_01_10 2014
12125, 10407, _
12208, 3, Tue Aug 12 13_45_56 2014
252572, 245117, _
252095, 36, Tue Aug 12 13_51_01 2014
79646, 76360, _
79871, 11, Tue Aug 12 13_42_57 2014
23721, 21834, _
23763, 4, Tue Aug 12 13_44_09 2014
306442, 297844, _
305885, 28, Tue Aug 12 13_58_01 2014
270780, 263117, _
270459, 37, Tue Aug 12 13_50_26 2014
211306, 196727, _
217389, 41349, Tue Aug 12 14_00_49 2014
261116, 253523, _
260550, 41327, Tue Aug 12 13_49_05 2014
83005, 79544, _
82937, 0, Tue Aug 12 13_42_25 2014
236611, 229576, _
236228, 24, Tue Aug 12 13_46_16 2014
250404, 242884, _
249979, 32, Tue Aug 12 13_53_05 2014
254874, 247392, _
254629, 24, Tue Aug 12 13_46_19 2014
252562, 245200, _
252191, 30, Tue Aug 12 13_54_20 2014
11967, 10305, _
12033, 41279, Tue Aug 12 13_44_36 2014
302799, 294419, _
302100, 38, Tue Aug 12 13_59_14 2014
268724, 261031, _
268271, 32, Tue Aug 12 13_55_02 2014
304960, 296458, _
304433, 37, Tue Aug 12 13_58_48 2014
234957, 228025, _
234683, 30, Tue Aug 12 13_54_03 2014
83127, 79654, _
83126, 10, Tue Aug 12 13_42_08 2014
12125, 10407, _
12208, 3, Tue Aug 12 13_45_53 2014
250072, 242794, _
249823, 31, Tue Aug 12 13_34_20 2014
244434, 237129, _
244278, 30, Tue Aug 12 13_35_14 2014
117034, 112178, _
118082, 7, Tue Aug 12 13_33_41 2014
217332, 202407, _
223797, 37, Tue Aug 12 14_01_35 2014
993, 0, _
651, 0, Tue Aug 12 13_58_35 2014
283803, 275794, _
283419, 41351, Tue Aug 12 13_55_23 2014
235392, 228539, _
235226, 17, Tue Aug 12 13_54_25 2014
315354, 306619, _
314772, 39, Tue Aug 12 13_58_22 2014
318572, 309522, _
318355, 41335, Tue Aug 12 13_38_38 2014
248322, 241016, _
